,id,sentiment_scores,number of reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,price,neighbourhood_cleansed
223,1231514,0.3025,18,92.0,9.0,9.0,10.0,10.0,10.0,9.0,$80.00,Near West Side
224,1235787,0.3476666666666666,3,100.0,10.0,10.0,10.0,10.0,10.0,10.0,$88.00,Near West Side
225,1236739,0.29456382978723405,94,97.0,10.0,10.0,10.0,10.0,9.0,10.0,$78.00,Logan Square
226,1238598,0.3415537190082644,121,98.0,10.0,10.0,10.0,10.0,9.0,10.0,$49.00,Bridgeport
227,1243168,0.2954406779661017,59,94.0,9.0,9.0,10.0,10.0,9.0,9.0,$65.00,Logan Square
228,1249397,0.21777777777777776,9,96.0,10.0,8.0,10.0,9.0,9.0,9.0,$130.00,Lincoln Square
229,1267060,0.3018888888888889,9,100.0,10.0,10.0,10.0,10.0,10.0,10.0,$118.00,West Town
230,1268060,0.30962096774193537,248,93.0,9.0,10.0,10.0,10.0,10.0,9.0,$55.00,Near North Side
231,1278457,0.25044999999999995,20,99.0,10.0,10.0,10.0,10.0,10.0,10.0,$300.00,West Town
232,1291440,0.3493983050847461,118,94.0,10.0,10.0,10.0,10.0,10.0,9.0,$65.00,West Town
233,1296053,0.3499285714285714,14,100.0,10.0,10.0,10.0,10.0,10.0,10.0,$75.00,Oakland
234,1296218,0.31041666666666673,12,95.0,10.0,10.0,10.0,10.0,10.0,10.0,$75.00,Oakland
235,1301530,0.289070588235294,170,93.0,9.0,9.0,10.0,10.0,10.0,9.0,$250.00,Loop
236,1304049,0.2858157894736843,76,92.0,10.0,10.0,9.0,9.0,9.0,9.0,$100.00,Near West Side
237,1313143,0.31647368421052624,76,100.0,10.0,10.0,10.0,10.0,10.0,10.0,$250.00,Near North Side
238,1313847,0.2657647058823529,68,79.0,8.0,8.0,10.0,10.0,8.0,8.0,$70.00,Rogers Park
239,1321332,0.30228,25,98.0,10.0,10.0,10.0,10.0,9.0,10.0,$500.00,Lincoln Park
240,1324435,0.2917474747474748,99,90.0,9.0,9.0,9.0,10.0,10.0,9.0,$51.00,Near North Side
241,1332249,0.26815151515151514,33,91.0,10.0,9.0,10.0,10.0,10.0,9.0,$170.00,West Town
242,1333431,0.3158,5,100.0,10.0,10.0,10.0,10.0,10.0,10.0,$150.00,Oakland
243,1336364,0.3223333333333334,75,93.0,9.0,9.0,10.0,10.0,9.0,9.0,$85.00,West Town
244,1346414,0.3081044776119404,67,89.0,9.0,9.0,9.0,9.0,9.0,9.0,$110.00,Edgewater
245,1356190,0.32175833333333326,120,99.0,10.0,10.0,10.0,10.0,10.0,10.0,$90.00,Logan Square
246,1359312,0.26724999999999993,40,98.0,10.0,10.0,10.0,10.0,9.0,10.0,$74.00,Washington Park
247,1369384,0.3036153846153846,91,93.0,9.0,9.0,10.0,10.0,9.0,9.0,$75.00,Irving Park
248,1388296,0.27492307692307694,13,93.0,10.0,9.0,9.0,10.0,10.0,9.0,$200.00,West Town
